
applicant_id,nser_score,income_per_month_pkrs,region,family_size,eligible_for_sehat_sahulat,reason
1,12,44131,Balochistan,8,No,Income or score above eligibility criteria
2,32,101454,Azad Jammu & Kashmir,4,No,Income or score above eligibility criteria
3,48,84103,Sindh,4,No,Income or score above eligibility criteria
4,47,17597,Azad Jammu & Kashmir,4,No,Income or score above eligibility criteria
5,37,31197,Balochistan,5,No,Income or score above eligibility criteria
6,29,67447,Khyber Pakhtunkhwa,6,No,Income or score above eligibility criteria
7,43,60452,Punjab,8,No,Income or score above eligibility criteria
8,32,111298,Khyber Pakhtunkhwa,6,No,Income or score above eligibility criteria
9,16,61899,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
10,10,10300,Islamabad,4,Yes,NSER score below threshold and low income
11,34,93662,Sindh,7,No,Income or score above eligibility criteria
12,48,98537,Sindh,5,No,Income or score above eligibility criteria
13,38,87517,Gilgit-Baltistan,6,No,Income or score above eligibility criteria
14,10,43103,Balochistan,5,No,Income or score above eligibility criteria
15,10,110060,Balochistan,4,No,Income or score above eligibility criteria
16,14,21749,Gilgit-Baltistan,4,Yes,NSER score below threshold and low income
17,20,73562,Balochistan,4,No,Income or score above eligibility criteria
18,41,11255,Islamabad,2,No,Income or score above eligibility criteria
19,7,72294,Punjab,6,No,Income or score above eligibility criteria
20,32,59135,Punjab,5,No,Income or score above eligibility criteria
21,47,99412,Islamabad,8,No,Income or score above eligibility criteria
22,21,51590,Khyber Pakhtunkhwa,6,No,Income or score above eligibility criteria
23,10,105748,Islamabad,2,No,Income or score above eligibility criteria
24,12,102060,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
25,16,108045,Sindh,8,No,Income or score above eligibility criteria
26,30,10932,Punjab,5,Yes,NSER score below threshold and low income
27,50,44013,Khyber Pakhtunkhwa,6,No,Income or score above eligibility criteria
28,34,104267,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
29,44,110884,Khyber Pakhtunkhwa,4,No,Income or score above eligibility criteria
30,16,32665,Sindh,2,No,Income or score above eligibility criteria
31,43,38989,Azad Jammu & Kashmir,7,No,Income or score above eligibility criteria
32,11,61858,Islamabad,2,No,Income or score above eligibility criteria
33,5,56764,Punjab,2,No,Income or score above eligibility criteria
34,15,90957,Balochistan,5,No,Income or score above eligibility criteria
35,49,58096,Azad Jammu & Kashmir,7,No,Income or score above eligibility criteria
36,43,100146,Balochistan,4,No,Income or score above eligibility criteria
37,44,111578,Islamabad,4,No,Income or score above eligibility criteria
38,49,93316,Gilgit-Baltistan,7,No,Income or score above eligibility criteria
39,30,110465,Khyber Pakhtunkhwa,2,No,Income or score above eligibility criteria
40,13,22709,Punjab,3,Yes,NSER score below threshold and low income
41,12,111950,Punjab,7,No,Income or score above eligibility criteria
42,17,117592,Punjab,3,No,Income or score above eligibility criteria
43,35,90016,Sindh,7,No,Income or score above eligibility criteria
44,20,62119,Azad Jammu & Kashmir,7,No,Income or score above eligibility criteria
45,39,30023,Punjab,4,No,Income or score above eligibility criteria
46,34,24420,Balochistan,5,No,Income or score above eligibility criteria
47,6,20264,Sindh,3,Yes,NSER score below threshold and low income
48,49,63361,Balochistan,5,No,Income or score above eligibility criteria
49,6,117695,Balochistan,6,No,Income or score above eligibility criteria
50,20,31389,Khyber Pakhtunkhwa,6,No,Income or score above eligibility criteria
51,30,11674,Khyber Pakhtunkhwa,2,Yes,NSER score below threshold and low income
52,11,87629,Azad Jammu & Kashmir,7,No,Income or score above eligibility criteria
53,32,59484,Azad Jammu & Kashmir,5,No,Income or score above eligibility criteria
54,42,83097,Gilgit-Baltistan,6,No,Income or score above eligibility criteria
55,23,9851,Balochistan,5,Yes,NSER score below threshold and low income
56,36,72286,Islamabad,7,No,Income or score above eligibility criteria
57,44,93954,Azad Jammu & Kashmir,8,No,Income or score above eligibility criteria
58,36,35396,Gilgit-Baltistan,2,No,Income or score above eligibility criteria
59,38,7492,Balochistan,6,No,Income or score above eligibility criteria
60,25,77516,Punjab,4,No,Income or score above eligibility criteria
61,46,59675,Balochistan,2,No,Income or score above eligibility criteria
62,36,86618,Gilgit-Baltistan,4,No,Income or score above eligibility criteria
63,33,96424,Balochistan,2,No,Income or score above eligibility criteria
64,15,42750,Gilgit-Baltistan,3,No,Income or score above eligibility criteria
65,35,50068,Balochistan,3,No,Income or score above eligibility criteria
66,37,33796,Islamabad,7,No,Income or score above eligibility criteria
67,26,83918,Azad Jammu & Kashmir,8,No,Income or score above eligibility criteria
68,50,91108,Balochistan,3,No,Income or score above eligibility criteria
69,23,99764,Gilgit-Baltistan,5,No,Income or score above eligibility criteria
70,31,114193,Gilgit-Baltistan,7,No,Income or score above eligibility criteria
71,28,109329,Balochistan,8,No,Income or score above eligibility criteria
72,15,86506,Sindh,4,No,Income or score above eligibility criteria
73,49,103206,Punjab,7,No,Income or score above eligibility criteria
74,35,21920,Sindh,3,No,Income or score above eligibility criteria
75,15,84396,Balochistan,2,No,Income or score above eligibility criteria
76,31,69713,Khyber Pakhtunkhwa,3,No,Income or score above eligibility criteria
